Name,Year,Title,Journal,Location,Link,Type
"Crowley, M. J.,  &amp; Mayes, L. C.","2008, November","fERN Response to Loss as a Function of Risk-Taking Propensity.","","Paper Presented at the Association for Behavioral and Cognitive Therapies, Orlando, Florida.","",poster
"McPartland, J., Bailey, C., Schultz, R. &amp; Klin, A.","2008, May","Neural Correlates of Perceptual Expertise in Autism.","","Paper presented at the International Meeting for Autism Research, London, United Kingdom.","",""
"Shultz, S., Jones, W., Klin, A. &amp; McPartland, J.","2008, May","The Role Of Context In Face Processing: An ERP Study of Adolescents with Autism.","","Poster presented at the International Meeting for Autism Research, London, United Kingdom.","",poster
"Mayes, L.C., Molfese, D.L., Key, A.P., Hunter, N.C.",2005,"Event-related Potentials in Cocaine-exposed Children During a Stroop Task.","Neurotoxicology and teratology.","27(6):797-813","material/mayes_2005.pdf",manuscript
